happiness,户口类型,出生年份,家庭年收入,家庭常驻人口,家庭经济状况,是否参加基本医疗保险,是否参加基本养老保险,是否参加商业医疗保险,是否参加商业养老保险,养老应该由谁负责
无法回答,城市,1954,48000,2,平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1937,130000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1947,80000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1960,55000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1931,72000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1959,40000,5,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1952,60000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1951,100000,4,低于平均水平,参加了,参加了,参加了,参加了,主要由政府负责
说不上幸福不幸福,城市,1957,72000,1,远低于平均水平,参加了,参加了,参加了,参加了,主要由政府负责
说不上幸福不幸福,城市,1930,36000,1,低于平均水平,参加了,参加了,参加了,参加了,主要由子女负责
说不上幸福不幸福,城市,1965,160000,1,高于平均水平,参加了,参加了,参加了,参加了,主要由子女负责
比较幸福,城市,1932,40000,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1970,200000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1978,50000,5,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1974,100000,3,平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1934,192000,3,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较不幸福,城市,1958,50000,2,远低于平均水平,参加了,参加了,不适用,不适用,政府/子女/老人责任均摊
非常幸福,城市,1981,90240,2,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1933,不知道,5,无法回答,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1966,52800,3,低于平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
比较不幸福,城市,1937,40000,1,低于平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1951,70000,2,高于平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1980,90000,3,低于平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1960,250000,3,高于平均水平,参加了,没有参加,没有参加,没有参加,主要由政府负责
非常幸福,城市,1981,120000,4,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1929,35000,1,低于平均水平,参加了,参加了,没有参加,没有参加,无法回答
比较幸福,城市,1946,66000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1997,不知道,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1956,42000,3,低于平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1930,不知道,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1960,100000,2,平均水平,参加了,参加了,参加了,参加了,主要由子女负责
非常幸福,城市,1952,38400,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
说不上幸福不幸福,城市,1973,250000,2,低于平均水平,参加了,没有参加,没有参加,没有参加,主要由政府负责
非常幸福,城市,1933,15000,1,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1950,30000,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1948,37200,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1950,84000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1951,200000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1950,72000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1934,50000,2,平均水平,参加了,参加了,无法回答,无法回答,政府/子女/老人责任均摊
比较幸福,城市,1947,40000,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1997,不知道,2,高于平均水平,参加了,没有参加,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1987,100000,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1929,44160,1,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1937,150000,2,高于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
非常幸福,城市,1931,36000,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1989,90000,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1923,50200,1,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1944,88800,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1959,170000,4,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1957,40000,1,平均水平,参加了,参加了,不适用,不适用,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1937,132000,4,低于平均水平,参加了,参加了,参加了,参加了,主要由子女负责
说不上幸福不幸福,城市,1934,70000,1,低于平均水平,参加了,没有参加,参加了,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1932,36000,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1990,78000,3,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1967,100000,1,平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1990,120000,4,低于平均水平,不适用,不适用,不适用,不适用,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1950,73200,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1955,38400,1,平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1969,100000,1,平均水平,没有参加,参加了,没有参加,没有参加,主要由子女负责
比较不幸福,城市,1955,84000,2,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1975,144000,2,高于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
说不上幸福不幸福,城市,1956,300000,2,平均水平,参加了,参加了,没有参加,没有参加,无法回答
非常不幸福,城市,1951,48000,2,远低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1949,100000,3,平均水平,参加了,不适用,没有参加,参加了,政府/子女/老人责任均摊
非常幸福,城市,1953,84000,2,平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1989,拒绝回答,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1955,50000,3,低于平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
非常幸福,城市,1957,49440,2,低于平均水平,参加了,没有参加,没有参加,没有参加,主要由老人自己负责
非常幸福,城市,1959,120000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1967,13200,1,远低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1987,0,1,低于平均水平,参加了,没有参加,没有参加,没有参加,主要由政府负责
比较幸福,城市,1952,170000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1975,60000,3,低于平均水平,参加了,参加了,参加了,没有参加,主要由子女负责
说不上幸福不幸福,城市,1980,10000,2,平均水平,参加了,参加了,参加了,参加了,主要由政府负责
比较幸福,城市,1951,120000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1997,144000,3,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
非常幸福,城市,1959,130000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1978,200000,3,低于平均水平,参加了,参加了,参加了,无法回答,主要由子女负责
比较幸福,城市,1945,39600,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1939,120000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较不幸福,城市,1941,60000,2,平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1971,拒绝回答,3,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
非常不幸福,城市,1950,90000,2,平均水平,参加了,参加了,参加了,参加了,主要由子女负责
说不上幸福不幸福,城市,1969,100000,3,高于平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1940,120000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
说不上幸福不幸福,城市,1971,250000,3,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1997,120000,3,低于平均水平,不适用,不适用,参加了,参加了,主要由子女负责
比较幸福,城市,1972,80000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1982,50000,1,远低于平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
非常幸福,城市,1970,1000000,2,高于平均水平,参加了,没有参加,参加了,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1977,180000,5,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1972,90000,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1928,39600,1,平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1956,37200,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1973,200000,1,平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1953,100000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
说不上幸福不幸福,城市,1946,不知道,2,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1972,250000,3,平均水平,参加了,参加了,参加了,无法回答,政府/子女/老人责任均摊
比较幸福,城市,1987,320000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1955,40920,2,平均水平,参加了,没有参加,没有参加,参加了,主要由子女负责
说不上幸福不幸福,城市,1981,拒绝回答,3,低于平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1988,168000,3,平均水平,参加了,没有参加,参加了,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1973,拒绝回答,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1959,133200,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1946,84000,2,平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1989,70000,2,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1958,24240,1,低于平均水平,参加了,无法回答,没有参加,没有参加,主要由子女负责
比较幸福,城市,1932,45600,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1938,30000,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1986,200000,3,高于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1945,79000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较不幸福,城市,1962,37200,1,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
非常幸福,城市,1976,300000,3,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1968,60000,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1951,70000,2,平均水平,参加了,不适用,没有参加,参加了,主要由政府负责
非常幸福,城市,1975,不知道,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较不幸福,城市,1949,50000,1,低于平均水平,参加了,参加了,无法回答,无法回答,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1978,170000,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常不幸福,城市,1953,30000,1,远低于平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1941,24000,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1971,130000,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较不幸福,城市,1958,50000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较不幸福,城市,1970,132000,3,平均水平,参加了,参加了,没有参加,参加了,政府/子女/老人责任均摊
比较幸福,城市,1974,70000,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1949,144000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1961,60000,1,平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1984,480000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较不幸福,城市,1947,36000,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1979,100000,3,平均水平,参加了,参加了,参加了,参加了,主要由子女负责
说不上幸福不幸福,城市,1945,140000,3,平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1994,0,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1961,900000,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1954,92400,1,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1951,163200,2,高于平均水平,参加了,参加了,没有参加,参加了,主要由子女负责
比较幸福,城市,1949,48000,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1965,70000,3,平均水平,参加了,参加了,参加了,参加了,主要由子女负责
比较幸福,城市,1987,74400,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1937,90000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1983,200000,3,高于平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
非常不幸福,城市,1969,拒绝回答,1,低于平均水平,参加了,参加了,参加了,参加了,主要由政府负责
说不上幸福不幸福,城市,1934,52000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1938,58750,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1996,120000,3,平均水平,没有参加,没有参加,参加了,参加了,主要由子女负责
说不上幸福不幸福,城市,1992,100000,1,平均水平,参加了,没有参加,没有参加,没有参加,主要由政府负责
比较幸福,城市,1954,102000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
说不上幸福不幸福,城市,1977,72000,2,低于平均水平,参加了,参加了,参加了,参加了,主要由子女负责
比较不幸福,城市,1956,50000,1,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1955,39120,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1953,45600,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1959,75600,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1953,70000,2,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1936,60000,1,平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1985,60000,1,远低于平均水平,参加了,参加了,参加了,参加了,主要由子女负责
说不上幸福不幸福,城市,1986,100000,3,低于平均水平,参加了,参加了,参加了,参加了,主要由子女负责
非常幸福,城市,1956,150000,2,高于平均水平,参加了,参加了,没有参加,参加了,主要由子女负责
非常不幸福,城市,1945,拒绝回答,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1949,88800,1,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1977,90000,1,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
说不上幸福不幸福,城市,1952,60000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
非常幸福,城市,1952,40800,2,平均水平,参加了,没有参加,参加了,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1945,100000,2,高于平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1938,30000,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1945,30000,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较不幸福,城市,1977,180000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1944,94800,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1988,拒绝回答,3,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1976,80000,3,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1982,240000,1,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
说不上幸福不幸福,城市,1957,9840,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1986,300000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1928,50000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1933,132000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1984,216000,5,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1938,36000,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1967,230000,1,高于平均水平,参加了,参加了,不适用,不适用,主要由子女负责
说不上幸福不幸福,城市,1959,27600,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1924,60000,1,平均水平,参加了,参加了,参加了,参加了,主要由子女负责
比较幸福,城市,1948,61200,3,平均水平,没有参加,参加了,没有参加,没有参加,政府/子女/老人责任均摊
无法回答,城市,1992,30000,3,平均水平,无法回答,无法回答,无法回答,无法回答,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1931,42000,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1959,208800,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1989,20000,3,平均水平,参加了,没有参加,参加了,参加了,政府/子女/老人责任均摊
非常幸福,城市,1993,48000,1,平均水平,不适用,不适用,不适用,不适用,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1958,84000,2,平均水平,参加了,没有参加,没有参加,参加了,政府/子女/老人责任均摊
比较幸福,城市,1984,36000,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1975,400000,2,高于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1939,120000,2,平均水平,参加了,参加了,不适用,不适用,主要由子女负责
非常不幸福,城市,1967,96000,1,高于平均水平,参加了,没有参加,参加了,没有参加,主要由子女负责
比较幸福,城市,1988,138000,3,低于平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1962,60000,2,低于平均水平,参加了,参加了,参加了,参加了,主要由老人自己负责
非常幸福,城市,1983,600000,2,高于平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1973,276000,1,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1934,36000,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较不幸福,城市,1952,25000,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1947,26400,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1959,127200,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1956,120000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1956,80000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1966,100000,3,平均水平,参加了,参加了,参加了,无法回答,主要由子女负责
比较幸福,城市,1980,120000,3,平均水平,参加了,没有参加,没有参加,参加了,主要由子女负责
比较幸福,城市,1971,36000,1,低于平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1944,72000,1,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
说不上幸福不幸福,城市,1975,65000,1,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1963,80000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1922,150000,4,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1957,36000,3,低于平均水平,参加了,参加了,参加了,参加了,主要由子女负责
比较幸福,城市,1963,拒绝回答,5,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1984,90000,2,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
非常幸福,城市,1966,60000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1954,68400,1,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1961,72000,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1963,168000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
非常幸福,城市,1941,116400,1,高于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1951,70000,4,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1982,210000,2,平均水平,参加了,参加了,没有参加,参加了,主要由子女负责
比较幸福,城市,1978,160000,3,高于平均水平,参加了,参加了,没有参加,没有参加,无法回答
说不上幸福不幸福,城市,1974,300000,3,高于平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1957,139200,3,平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1961,50000,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1961,105600,3,平均水平,参加了,参加了,没有参加,参加了,主要由子女负责
说不上幸福不幸福,城市,1948,80000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
说不上幸福不幸福,城市,1943,32000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常不幸福,城市,1986,100000,9,远低于平均水平,参加了,参加了,参加了,参加了,主要由政府负责
比较幸福,城市,1997,100000,2,平均水平,参加了,没有参加,参加了,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1953,204000,3,平均水平,参加了,参加了,参加了,没有参加,主要由子女负责
比较幸福,城市,1936,72000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1934,77640,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
非常幸福,城市,1944,96000,2,无法回答,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1945,52800,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1972,300000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1976,80000,拒绝回答,平均水平,参加了,参加了,参加了,参加了,主要由子女负责
说不上幸福不幸福,城市,1955,122400,4,低于平均水平,参加了,参加了,没有参加,没有参加,无法回答
非常幸福,城市,1974,62400,2,低于平均水平,参加了,没有参加,没有参加,参加了,主要由老人自己负责
非常幸福,城市,1929,96000,5,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1970,200000,2,高于平均水平,参加了,没有参加,没有参加,没有参加,主要由老人自己负责
说不上幸福不幸福,城市,1976,80000,1,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
非常幸福,城市,1947,91200,1,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1964,200000,3,平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1995,77016,2,平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1953,144000,3,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1954,87600,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1956,15600,2,平均水平,参加了,参加了,没有参加,参加了,主要由老人自己负责
比较幸福,城市,1965,150000,3,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1984,17000,2,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
非常幸福,城市,1934,36000,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1965,200000,2,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1945,33000,1,平均水平,没有参加,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1972,400000,3,高于平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1976,174000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1986,52000,1,平均水平,参加了,参加了,不适用,不适用,主要由子女负责
非常幸福,城市,1933,39600,1,低于平均水平,参加了,不适用,不适用,不适用,主要由子女负责
非常幸福,城市,1974,300000,3,高于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1986,120000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1982,120000,2,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较不幸福,城市,1956,不知道,1,无法回答,参加了,参加了,没有参加,没有参加,主要由子女负责
比较不幸福,城市,1960,400000,拒绝回答,平均水平,参加了,参加了,不适用,不适用,政府/子女/老人责任均摊
非常不幸福,城市,1962,60000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
说不上幸福不幸福,城市,1974,100000,1,低于平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
