类别,行政区,点评数,口味,环境,服务,人均消费
本菜,A,4,7.8,7.5,7.8,0
本菜,A,0,0,0,0,0
西餐,A,1061,8.4,9.1,9,656
本菜,A,0,0,0,0,0
西餐,A,1061,8.4,9.1,9,656
西餐,A,1061,8.4,9.1,9,656
西餐,K,109,7.3,7.3,7.3,36
甜点,F,726,8.2,7.5,7.4,24
川菜,F,236,7.8,7.7,7.6,74
火锅,G,1,6.9,6.9,6.9,0
川菜,I,4,7,7,7,0
常菜,I,0,0,0,0,0
粤菜,F,402,7.7,8.6,7.8,700
粤菜,F,402,7.7,8.6,7.8,700
北菜,F,143,7.2,7.5,7.2,52
龙虾,A,5,7.4,7.4,7.4,15
西餐,F,334,9.1,8.9,9.1,272
川菜,F,0,0,0,0,0
川菜,F,9,7,6.9,6.9,15
西餐,F,9,6.9,6.9,6.9,0
西餐,F,9,6.9,6.9,6.9,0
西餐,I,0,0,0,0,0
西餐,I,0,0,0,0,0
美食,F,2,6.9,6.9,6.9,30
美食,A,1,6.6,6.7,6.7,0
美食,F,2,6.9,6.9,6.9,0
啡厅,A,6,7.6,7.6,7.6,0
北菜,A,2,6.9,6.9,6.9,21
美食,F,2,7.3,7.3,7.3,0
啡厅,I,27,7.3,7.4,7.3,99
啡厅,I,27,7.3,7.4,7.3,99
快餐,F,32,7.3,7.4,6.8,24
快餐,F,95,7.4,7.3,7.4,20
快餐,F,95,7.4,7.3,7.4,20
粤菜,A,1,6.9,6.9,6.9,0
粤菜,A,1,6.9,6.9,6.9,0
湘菜,A,0,0,0,0,0
快餐,A,159,7.6,6.5,7.2,18
西餐,A,0,0,0,0,0
甜点,A,4,7.5,7.5,7.5,0
快餐,A,159,7.6,6.5,7.2,18
西餐,A,0,0,0,0,0
快餐,F,15,7,7,7.1,13
快餐,F,15,7,7,7.1,13
西餐,F,98,7.3,7.2,7.4,36
西餐,F,98,7.3,7.2,7.4,36
快餐,K,2,7.2,7.2,7.2,17
火锅,I,124,8,7.9,8,61
烧烤,H,1114,8.3,8.3,8.1,79
烧烤,H,0,0,0,0,0
美食,A,13,7.5,8.1,7.3,0
快餐,K,57,7.6,7.7,7.9,15
快餐,K,57,7.6,7.7,7.9,15
海鲜,G,35,7.5,7.3,7.4,82
火锅,A,21,7.9,8,8.1,87
美食,H,1,7,7,7,0
火锅,G,92,7.6,7.2,7.4,120
烧烤,K,1,7,7,7,0
快餐,F,26,7.3,7,7.1,7
甜点,F,0,0,0,0,0
甜点,F,0,0,0,0,0
火锅,K,1489,6.5,6,6,50
助餐,K,1333,7.5,7.3,7.2,64
快餐,K,618,7.5,7,7,21
甜点,K,891,7.8,7.6,7.5,15
烧烤,K,0,0,0,0,0
龙虾,F,12,7.1,7.1,7.1,67
快餐,F,583,7.9,7.7,7.6,42
甜点,F,833,8.2,8.1,7.9,16
快餐,H,40,8,7.8,8,37
快餐,A,339,7.5,7,6.9,27
快餐,A,339,7.5,7,6.9,27
粤菜,F,566,8.1,9.2,8.9,294
浙菜,F,1517,8.8,8.6,8.4,443
浙菜,F,1,7.3,7.3,7.3,0
助餐,F,2856,7.6,8.3,7.9,288
西餐,F,3108,7.7,9.2,7.9,564
西餐,F,3108,7.7,9.2,7.9,564
助餐,F,2856,7.6,8.3,7.9,288
西餐,F,3108,7.7,9.2,7.9,564
助餐,F,2856,7.6,8.3,7.9,288
甜点,K,2173,7.2,6.8,6.6,23
甜点,K,2173,7.2,6.8,6.6,23
快餐,A,428,6.6,6.3,6.3,21
蟹宴,F,0,0,0,0,0
快餐,F,22,7.4,7.1,7,0
蟹宴,F,0,0,0,0,0
快餐,I,2,7.3,7.3,7.3,0
快餐,F,5,6.7,7.2,7.2,0
快餐,F,1,7.1,6.8,6.8,0
甜点,F,0,0,0,0,0
美食,F,1,6.7,6.9,7,0
美食,F,0,0,0,0,0
烧烤,F,2,6.9,7,7.5,0
浙菜,K,637,8,8.8,7.9,107
粤菜,K,266,8.2,9,8.1,195
川菜,K,1,6.7,7,6.7,0
粤菜,K,266,8.2,9,8.1,195
粤菜,K,266,8.2,9,8.1,195
湘菜,K,7854,8.5,9,8.2,92
料理,K,859,7.5,7.4,7.2,49
美食,K,1193,8.6,9.1,8.3,362
美食,K,1193,8.6,9.1,8.3,362
啡厅,K,13,7.4,7.4,7.4,0
火锅,K,0,0,0,0,0
烧烤,K,831,9.1,9,9.1,381
烧烤,K,1054,7.1,8.1,7.1,177
甜点,K,481,6.8,6.9,6.8,33
火锅,G,68,7.7,7.7,7.8,77
浙菜,I,1,7.3,7.3,7.3,0
浙菜,H,91,6.8,6.9,6.8,121
快餐,A,508,8,7.2,7.4,29
快餐,A,508,8,7.2,7.4,29
快餐,K,3,7.1,7.1,7.1,17
西餐,F,522,8.8,8.5,8.7,74
甜点,F,0,0,0,0,0
甜点,F,0,0,0,0,0
火锅,H,5,7.2,7.2,7.5,0
湘菜,K,1,7.1,7.1,7.4,0
浙菜,F,38,7.8,7.7,7.9,94
浙菜,F,46,7.2,6.8,6.8,53
快餐,F,70,6.9,6.8,6.7,15
美食,F,19,7,7.2,7.3,48
北菜,H,24,6.8,6.8,6.8,45
甜点,F,26,7.4,7.7,7.7,12
啡厅,F,17,7.6,7.6,7.6,26
甜点,F,26,7.4,7.7,7.7,12
啡厅,F,17,7.6,7.6,7.6,26
火锅,K,280,8.2,8.1,8.2,114
火锅,K,280,8.2,8.1,8.2,114
快餐,A,5,7.1,7,7.1,0
浙菜,F,5,7.1,7,7,0
北菜,H,0,0,0,0,0
美食,I,1,7.1,7.1,7.1,0
本菜,F,0,0,0,0,0
西餐,F,4,7.4,7.4,7.4,0
西餐,F,1,7,7,7,0
烧烤,F,2,7.6,7.1,7.6,0
西餐,F,1,7,7,7,0
美食,F,0,0,0,0,0
甜点,K,35,8.1,8,7.9,14
啡厅,K,16,7.4,7.4,7,38
火锅,F,248,8.3,7.6,8.2,52
烧烤,K,0,0,0,0,0
快餐,A,0,0,0,0,0
烧烤,K,1,7.2,7.2,7.2,0
美食,I,5,7,6.9,6.9,22
快餐,F,12,7.3,7.2,7.2,12
甜点,F,3,7.1,7.3,7.3,0
海鲜,I,0,0,0,0,0
快餐,A,23,7.2,7,7.1,0
美食,K,4,7.4,7.4,7.6,64
浙菜,A,6,6.9,6.9,6.9,0
甜点,A,355,8.6,8.2,8.7,26
甜点,A,355,8.6,8.2,8.7,26
甜点,A,355,8.6,8.2,8.7,26
快餐,I,3,7.1,7,7.3,0
快餐,I,7,7.6,7.3,7.5,17
快餐,A,147,7.3,6.2,6.8,6
快餐,F,22,8.1,7.9,8.1,16
龙虾,F,0,0,0,0,0
西餐,K,2175,7.1,8.1,7.5,102
西餐,K,2175,7.1,8.1,7.5,102
西餐,I,0,0,0,0,0
烧烤,F,35,0,0,0,0
烧烤,F,35,0,0,0,0
川菜,K,11,7.4,7.3,7.3,35
川菜,K,1470,8.5,8.6,8.2,82
西餐,K,1781,7.7,7.9,7.8,69
川菜,K,1470,8.5,8.6,8.2,82
西餐,K,1781,7.7,7.9,7.8,69
川菜,K,1470,8.5,8.6,8.2,82
烧烤,H,0,0,0,0,0
烧烤,H,0,0,0,0,0
浙菜,H,1,7.1,7.3,6.8,0
烧烤,H,0,0,0,0,0
烧烤,H,0,0,0,0,0
火锅,A,0,0,0,0,0
浙菜,K,146,9,8.3,8.7,56
快餐,I,291,7.5,7.1,6.9,35
快餐,I,250,7.4,7.3,7.2,19
快餐,I,250,7.4,7.3,7.2,19
西餐,F,0,0,0,0,0
甜点,F,2,6.8,6.8,6.8,0
甜点,F,2,6.8,6.8,6.8,0
浙菜,A,91,6.8,6.7,6.8,67
快餐,A,303,7.1,7,7.1,27
快餐,A,259,6.8,6.8,6.6,29
本菜,K,8036,8.1,8.1,8.3,110
甜点,K,322,7.7,7.9,7.3,24
啡厅,K,238,8.5,8.7,8.7,45
本菜,K,8036,8.1,8.1,8.3,110
甜点,K,322,7.7,7.9,7.3,24
湘菜,I,1079,7.1,7.1,7.2,59
美食,K,19,7.7,7.6,7.7,0
美食,I,863,8.5,7,7.5,83
烧烤,I,4,7.2,6.9,7.1,0
美食,I,4,7.2,7.2,7.2,0
粤菜,K,5008,7.4,7.1,7.2,74
粤菜,K,5008,7.4,7.1,7.2,74
西餐,F,53,7.4,7.7,7.5,337
甜点,F,3,7,6.9,7,0
甜点,F,3,7,6.9,7,0
烧烤,K,12,7.4,7,7.4,0
快餐,A,83,7.2,7.2,7.1,29
快餐,K,396,7.1,6.9,6.7,19
湘菜,K,19,7,6.8,6.9,61
快餐,A,85,7.5,7,7.5,23
烧烤,I,6,7.5,7.4,7.4,0
甜点,I,21,7.1,6.4,6.7,17
美食,A,1285,7,8.3,7.6,105
粤菜,A,0,0,0,0,0
西餐,A,2186,8.8,9.2,9.1,815
甜点,A,2502,8,9,8.9,412
甜点,A,2502,8,9,8.9,412
美食,A,1285,7,8.3,7.6,105
西餐,A,2186,8.8,9.2,9.1,815
甜点,A,2502,8,9,8.9,412
西餐,A,2186,8.8,9.2,9.1,815
西餐,A,139,7.5,7.8,7.6,213
西餐,A,6,7.6,7.7,7.7,0
快餐,A,8,6.7,7.1,6.9,0
美食,G,0,0,0,0,0
快餐,F,1,0,0,0,0
西餐,F,41,7,6.6,6.8,14
龙虾,F,1,6.9,6.9,6.9,56
龙虾,F,1,6.9,6.9,6.9,56
川菜,A,0,0,0,0,0
本菜,A,244,7.3,7.1,7.2,50
浙菜,F,48,6.9,6.8,6.9,23
烧烤,G,10,7.1,6.7,6.8,0
川菜,I,3,7.4,7.4,7.4,0
美食,F,2,7.3,7.3,7.3,19
甜点,A,9,7.3,7.7,7.4,0
浙菜,E,0,0,0,0,0
快餐,F,19,6.9,6.8,7,0
烧烤,F,34,7.2,6.5,7,24
粤菜,I,0,0,0,0,20
粤菜,I,0,0,0,0,20
北菜,K,622,6.5,6.2,6.1,67
本菜,D,3,6.9,6.9,6.9,0
美食,I,9,7.7,7.7,7.7,0
亚菜,G,1,7.3,7.3,7.3,0
美食,I,1,7,7,7,0
快餐,I,27,7.3,7.3,7.4,20
火锅,A,50,7.1,7.1,7,46
甜点,F,0,0,0,0,0
甜点,F,0,0,0,0,0
甜点,F,11,0,0,0,0
浙菜,K,97,7.6,6.7,7.1,36
快餐,A,12,7.4,7.1,7.2,19
快餐,K,819,7.6,7.1,7.2,28
本菜,K,0,0,0,0,0
甜点,K,4,7.6,7.4,7.6,0
龙虾,K,7,6.2,6.2,6.1,0
甜点,K,4,7.6,7.4,7.6,0
美食,K,11,7.2,7,7.1,30
快餐,F,3,6.8,6.8,6.8,0
美食,F,1,6.9,6.9,6.9,0
甜点,K,48,7.1,7.3,7.1,21
美食,G,0,0,0,0,0
助餐,I,2,7.4,7.4,7.4,0
快餐,F,12,7.1,7.1,7.1,24
疆菜,G,31,8.2,8.2,7.8,66
快餐,F,1,7.1,7.1,7.1,0
快餐,F,8,6.9,6.8,6.9,0
西餐,G,1,6.9,6.9,6.9,21
美食,G,8,7.2,7.1,7.1,14
西餐,I,72,7.4,7.2,7,31
美食,I,2,7.1,7.1,7.1,0
西餐,I,72,7.4,7.2,7,31
甜点,K,38,6.8,6.7,6.9,11
美食,I,0,0,0,0,0
甜点,I,0,0,0,0,0
粤菜,G,0,0,0,0,0
湘菜,G,0,0,0,0,0
粤菜,G,0,0,0,0,0
甜点,A,0,0,0,0,0
浙菜,I,0,0,0,0,0
快餐,F,140,6.9,6.5,6.6,14
本菜,F,37,7.6,7.4,7.4,29
本菜,F,0,0,0,0,0
快餐,F,4,7.3,6.8,7.3,0
快餐,G,1,7.6,7.6,7.6,0
浙菜,I,125,7.1,6.5,6.8,66
美食,I,0,0,0,0,0
西餐,F,12,7,7.3,7.1,0
浙菜,A,13,6.9,6.9,6.9,58
湘菜,I,3,6.8,6.8,6.8,22
美食,F,6,7,7,7,0
甜点,I,32,6.8,6.7,6.7,50
甜点,I,8,7.1,7,7.1,0
川菜,K,79,6.8,6.5,6.8,100
海鲜,K,145,9.1,7.6,8.4,175
啡厅,A,8,7.6,7.6,7.6,0
啡厅,A,8,7.6,7.6,7.6,0
海鲜,K,5,7.3,7.2,7.3,0
龙虾,F,0,0,0,0,0
啡厅,H,2,7,7,7,0
啡厅,H,2,7,7,7,0
火锅,A,38,5.9,6.3,5.9,83
浙菜,A,25,6.7,6.7,6.6,47
甜点,A,2,7.1,7.5,7.2,0
甜点,A,2,7.1,7.5,7.2,0
龙虾,K,53,7.4,7.1,7.7,99
龙虾,K,53,7.4,7.1,7.7,99
龙虾,K,66,6.2,6.1,6.3,133
龙虾,K,66,6.2,6.1,6.3,133
本菜,A,0,0,0,0,0
啡厅,F,1,6.9,6.9,6.9,0
火锅,K,19,8.2,7.7,8.2,0
火锅,K,222,6.9,6.3,6.2,137
甜点,A,0,0,0,0,0
甜点,A,0,0,0,0,0
西餐,F,0,0,0,0,0
西餐,F,0,0,0,0,0
粤菜,K,3841,7.9,8.2,7.6,97
粤菜,K,3800,7.5,8.1,7.4,78
粤菜,K,4685,7.7,7.7,7.2,93
火锅,K,7282,8.5,8.5,8.1,135
助餐,K,2463,8.5,8.7,8.5,383
粤菜,K,3800,7.5,8.1,7.4,78
快餐,K,362,7.4,7.5,7.4,39
快餐,K,778,8.3,8.2,7.8,31
本菜,K,2344,8.9,9.2,8.9,375
本菜,K,5252,7.9,8.2,7.9,267
亚菜,K,5051,7.6,7.6,7.3,66
亚菜,K,983,6,6.2,5.2,41
西餐,K,3470,9.1,9.2,9.3,396
西餐,K,440,8.2,9.1,8.3,60
西餐,K,92,8.6,9,9,165
西餐,K,588,8.4,8.7,8.2,75
西餐,K,1161,7.7,8,7.7,107
快餐,K,362,7.4,7.5,7.4,39
甜点,K,216,8.8,8.8,9,96
甜点,K,1269,8.4,8.5,8.5,42
啡厅,K,737,8.2,8.2,8.1,45
甜点,K,896,7.9,7.8,7.7,36
甜点,K,147,6.8,8.1,7.6,37
甜点,K,426,7.4,7.5,7.6,32
甜点,K,562,7.1,7.3,6.8,38
美食,K,4049,8.1,8.2,8,139
啡厅,K,737,8.2,8.2,8.1,45
啡厅,K,1386,7.5,8.2,7.6,71
啡厅,K,377,7.6,7.5,7.6,39
啡厅,K,41,7.5,8,7.6,16
啡厅,K,0,0,0,0,0
助餐,K,2463,8.5,8.7,8.5,383
本菜,K,5252,7.9,8.2,7.9,267
烧烤,K,3698,8,7.9,7.8,82
西餐,K,440,8.2,9.1,8.3,60
甜点,K,1269,8.4,8.5,8.5,42
粤菜,K,3841,7.9,8.2,7.6,97
西餐,K,588,8.4,8.7,8.2,75
啡厅,K,737,8.2,8.2,8.1,45
粤菜,K,3800,7.5,8.1,7.4,78
粤菜,K,4685,7.7,7.7,7.2,93
西餐,K,1161,7.7,8,7.7,107
啡厅,K,1386,7.5,8.2,7.6,71
甜点,K,896,7.9,7.8,7.7,36
啡厅,K,377,7.6,7.5,7.6,39
甜点,K,716,7.5,7.8,7.7,38
甜点,K,183,7.1,7.3,7.2,36
美食,K,4049,8.1,8.2,8,139
甜点,I,0,0,0,0,0
火锅,I,0,0,0,0,0
美食,I,0,0,0,0,0
常菜,K,0,0,0,0,0
浙菜,A,3,7.1,7.1,7.1,0
州菜,K,10,7.2,7.1,7.2,33
州菜,K,10,7.2,7.1,7.2,33
川菜,A,10,6.4,6.4,6.4,52
粤菜,K,202,7.6,6.6,7.4,15
海鲜,K,328,7.7,6.7,7.2,100
海鲜,K,2102,7.1,5.3,6,80
快餐,K,1486,8.1,6.7,7.2,8
快餐,K,649,8.2,6.9,7.4,14
快餐,K,1240,7.4,6.2,6.8,7
快餐,K,1080,7.2,6.1,6.7,6
快餐,K,182,7.5,6.9,7.3,14
甜点,K,199,7.7,7.5,7.7,15
美食,K,994,8.1,7.3,7.8,14
快餐,K,182,7.5,6.9,7.3,14
海鲜,K,35,7.5,8,7.9,25
烧烤,K,357,8.5,7.1,7.7,37
快餐,K,1486,8.1,6.7,7.2,8
浙菜,A,23,7.7,7.4,7.5,12
海鲜,A,52,6.6,6.5,6.5,48
浙菜,F,1013,7.1,7.2,6.7,162
湘菜,F,2,7,7,7,0
浙菜,F,1013,7.1,7.2,6.7,162
甜点,A,3,6.6,6.4,6.6,0
甜点,A,3,6.6,6.4,6.6,0
烧烤,K,14,6.9,6.9,6.9,0
甜点,K,11,7.2,7.2,6.8,33
甜点,K,11,7.2,7.2,6.8,33
快餐,A,142,6.9,6.3,6.3,11
北菜,K,240,8.3,8.1,8.6,70
甜点,G,2,7.4,7.4,7.2,0
浙菜,G,53,7.2,6.8,7,48
海鲜,I,29,6.6,6.5,6.3,0
本菜,K,0,0,0,0,0
快餐,A,856,8.2,7.8,7.9,37
快餐,A,856,8.2,7.8,7.9,37
快餐,A,856,8.2,7.8,7.9,37
北菜,I,8,7.5,7.4,7.4,0
海鲜,A,5,6.9,6.8,6.7,0
快餐,A,12,7.2,7,7,22
快餐,A,0,0,0,0,0
美食,F,0,0,0,0,0
浙菜,A,26,6.6,6.6,6.3,13
快餐,F,40,7,7.2,7.1,19
快餐,F,59,7.5,7.3,7.2,45
快餐,F,23,7.5,7.5,7.5,48
西餐,F,79,8.7,8.6,8.5,57
快餐,F,40,7,7.2,7.1,19
西餐,F,79,8.7,8.6,8.5,57
火锅,F,0,0,0,0,0
甜点,A,45,7,7.1,6.8,18
甜点,A,45,7,7.1,6.8,18
湘菜,F,0,0,0,0,58
快餐,F,10,7.3,6.9,7.3,0
浙菜,F,122,6.9,7.2,6.2,27
浙菜,K,307,7,6.5,6.3,21
甜点,F,1,7,7,7,0
甜点,F,1,7,7,7,0
川菜,A,1,6.9,6.9,6.9,0
快餐,A,55,7.6,6.4,7,16
本菜,A,0,0,0,0,0
西餐,A,0,0,0,0,0
甜点,A,35,7,6.9,6.7,58
甜点,A,1,7.2,7.2,7.2,0
烧烤,A,2,7.2,7.2,7.2,0
甜点,A,1,7.2,7.2,7.2,0
龙虾,,3,7,6.9,6.8,0
快餐,K,17,7.3,7.1,7.1,12
美食,K,7,7.3,7.1,6.4,15
快餐,G,9,6.7,6.7,6.7,19
快餐,I,15,7.3,7,7.3,16
美食,A,1,7.3,7.3,7.3,0
啡厅,G,1,7.3,7.3,7.3,0
啡厅,G,1,7.3,7.3,7.3,0
浙菜,K,7,7.5,6.9,7.3,0
湘菜,K,16,7.1,7.2,7.4,0
美食,I,0,0,0,0,0
湘菜,A,9,6.2,6.2,6.1,0
快餐,A,18,7.3,7.3,7.1,14
湘菜,I,5,6.8,6.8,6.8,18
湘菜,I,0,0,0,0,0
川菜,G,1,6.5,6.5,6.5,0
西餐,G,0,0,0,0,0
甜点,I,15,6.4,6.6,6.4,45
粤菜,F,116,7,6.8,6.9,23
本菜,F,3,7.1,7.1,7.1,0
快餐,F,55,7.1,7.1,7.2,15
湘菜,F,245,5.4,5.4,5.6,150
湘菜,F,245,5.4,5.4,5.6,150
浙菜,A,136,7,7.1,7.1,70
美食,F,1191,7.4,8,7.5,149
西餐,F,86,7.1,7.6,7.4,56
啡厅,F,80,8,8.1,7.7,48
甜点,F,0,0,0,0,0
美食,F,1191,7.4,8,7.5,149
美食,F,0,0,0,0,0
啡厅,F,80,8,8.1,7.7,48
啡厅,F,22,6.9,6.9,6.9,0
啡厅,F,0,0,0,0,0
啡厅,F,0,0,0,0,0
西餐,F,86,7.1,7.6,7.4,56
浙菜,F,193,7.7,7.8,7.9,199
湘菜,A,108,6.5,6.3,6.3,70
甜点,I,11,7,7,7,0
甜点,K,51,7.2,7.2,7.2,27
甜点,K,51,7.2,7.2,7.2,27
美食,I,0,0,0,0,0
美食,F,0,0,0,0,0
川菜,F,3,7.2,6.5,6.8,0
西餐,F,589,6.8,8,7.2,48
西餐,F,589,6.8,8,7.2,48
西餐,F,589,6.8,8,7.2,48
西餐,F,589,6.8,8,7.2,48
美食,A,54,7.4,7.5,7.4,19
快餐,F,35,7.2,7.1,7.1,17
快餐,F,35,7.2,7.1,7.1,17
美食,F,2,6.6,6.6,6.6,0
啡厅,F,55,8.7,8.9,8.7,47
快餐,A,126,7.1,6.2,6.4,15
美食,A,1,7,6.9,7,0
啡厅,K,2,6.9,6.9,6.7,0
快餐,A,1,6.9,6.9,6.9,15
快餐,A,0,0,0,0,0
甜点,A,10,7.4,7.4,7.3,18
甜点,A,10,7.4,7.4,7.3,18
甜点,A,0,0,0,0,22
啡厅,F,89,8,7.7,8,28
火锅,A,411,7,6.7,6.4,71
湘菜,K,75,7.9,8,8.4,83
本菜,F,1613,8.2,9.1,8.3,475
西餐,F,52,7.1,7.5,7.3,241
甜点,A,73,7.2,7.1,6.9,16
快餐,F,98,7.6,7.5,7.6,63
美食,I,3,7.4,7.6,7.6,27
啡厅,G,99,7.2,7.2,7.1,104
甜点,I,3,7.4,7.2,7.4,0
川菜,G,4,6.8,6.9,6.7,0
北菜,F,348,7.5,7.2,6.9,51
快餐,A,1,6.9,6.9,6.9,0
浙菜,F,726,7.7,7.4,7.3,98
本菜,G,191,6.5,7,6.8,99
甜点,F,73,7.6,7.5,7.7,16
粤菜,K,7385,8.1,8.3,8.1,83
快餐,K,1998,7.5,7.5,7.4,42
本菜,K,1084,6.5,6.8,6.6,71
本菜,K,454,6.4,6.9,6.8,59
料理,K,2835,7.9,8,8,41
亚菜,K,2160,6.9,6.8,7,52
西餐,K,5675,8.6,9,8.7,173
西餐,K,5675,8.6,9,8.7,173
甜点,K,162,8.2,9,8.7,43
甜点,K,316,7.3,7.5,7,15
甜点,K,112,7.1,7.1,7.3,20
甜点,K,275,7.9,8.1,7.7,31
甜点,K,638,8.2,8.3,8.1,35
啡厅,K,243,7.5,8,7.4,40
西餐,K,5675,8.6,9,8.7,173
粤菜,K,7385,8.1,8.3,8.1,83
啡厅,K,243,7.5,8,7.4,40
甜点,K,112,7.1,7.1,7.3,20
西餐,K,5675,8.6,9,8.7,173
甜点,I,2,7.1,7.1,6.8,17
甜点,I,2,7.1,7.1,6.8,17
快餐,I,142,7.2,7.3,7.1,18
西餐,I,1108,7.8,7.7,7.5,31
美食,I,11,0,0,0,0
快餐,F,62,6.8,7,6.5,30
甜点,Q,2,7.1,7.1,7.1,0
甜点,A,7,7.1,6.8,7,0
快餐,A,1,7.1,7.1,7.1,0
龙虾,A,0,0,0,0,0
龙虾,A,0,0,0,0,0
甜点,Q,2,7.1,7.1,7.1,0
甜点,A,7,7.1,6.8,7,0
料理,G,874,8.4,8.1,8,68
浙菜,K,1628,8,8.8,7.9,260
浙菜,K,6272,7.7,8,7.9,86
川菜,K,4632,8,8.2,7.8,88
川菜,K,4077,7.7,8,7.4,109
川菜,K,41,6.2,6.3,5.7,79
粤菜,K,668,8.7,9.2,9,795
粤菜,K,760,8.4,8.3,8.3,154
粤菜,K,6639,8.2,8.2,7.7,143
素菜,K,1108,7.6,8.3,7.9,94
火锅,K,9898,8.7,8.5,8.5,125
火锅,K,9898,8.7,8.5,8.5,125
火锅,K,1061,8.1,8.4,8,90
火锅,K,214,7.7,7.7,7.7,143
火锅,K,5599,7.3,7.5,7.1,112
快餐,K,25,7.7,7.6,7.8,36
快餐,K,269,7.2,7,6.9,39
本菜,K,6124,8.7,9,8.5,348
本菜,K,25,8.2,8.6,8.4,422
本菜,K,0,0,0,0,0
料理,K,3215,6.5,6.6,6.3,99
料理,K,3535,6.9,7.3,6.9,71
亚菜,K,5984,8.3,8.4,8.2,122
亚菜,K,22,6.7,6.9,6.5,35
西餐,K,193,8.1,9,8.2,198
海鲜,K,11483,7.7,8.2,7.8,197
西餐,K,4040,8,8.4,8.2,128
西餐,K,602,7.5,8,7.5,99
西餐,K,1086,7.3,7.7,7.5,187
西餐,K,178,7.2,7.7,7.2,189
甜点,K,493,8.3,8.6,8.6,55
甜点,K,33,8,8.1,8.2,0
甜点,K,669,7.5,7.4,7.1,26
甜点,K,50,7.7,8.1,8.1,34
美食,K,5492,8.1,8.4,8.1,86
啡厅,K,591,7.6,8,7.6,37
啡厅,K,199,7.3,7.3,7.2,38
海鲜,K,11483,7.7,8.2,7.8,197
海鲜,K,1117,8.4,8.7,7.9,273
本菜,K,0,0,0,0,0
甜点,K,493,8.3,8.6,8.6,55
粤菜,K,6639,8.2,8.2,7.7,143
西餐,K,4040,8,8.4,8.2,128
西餐,K,602,7.5,8,7.5,99
啡厅,K,591,7.6,8,7.6,37
海鲜,K,11483,7.7,8.2,7.8,197
西餐,K,0,0,0,0,0
快餐,A,1431,6.5,6.2,6.1,23
快餐,A,1431,6.5,6.2,6.1,23
甜点,A,0,7.3,7.3,7.3,0
甜点,A,10,7.2,7,6.9,21
啡厅,A,56,8,8.1,7.8,40
啡厅,A,56,8,8.1,7.8,40
甜点,A,0,7.3,7.3,7.3,0
甜点,A,10,7.2,7,6.9,21
浙菜,G,27,8.1,8.3,7.9,475
蟹宴,G,0,0,0,0,0
火锅,G,1197,8.3,8.4,8,108
西餐,G,0,0,0,0,0
啡厅,G,0,0,0,0,0
蟹宴,G,0,0,0,0,0
啡厅,G,0,0,0,0,0
本菜,F,6,6.9,7.2,6.9,0
粤菜,A,1,6.9,6.9,6.9,0
粤菜,A,1,6.9,6.9,6.9,0
湘菜,G,3,7.5,7.3,7.5,0
浙菜,F,38,7.1,7,7.1,218
快餐,F,612,8.4,8.4,8.5,45
快餐,F,612,8.4,8.4,8.5,45
啡厅,K,569,7.7,7.4,7.3,38
啡厅,K,569,7.7,7.4,7.3,38
啡厅,K,569,7.7,7.4,7.3,38
川菜,I,3,7.1,6.8,7.1,0
浙菜,I,7,7.5,7.3,7.7,0
西餐,A,86,8.6,9.2,9.1,658
川菜,F,4936,7.5,7.2,7,70
浙菜,F,51,7.1,7.2,7.1,25
甜点,F,182,7.8,7.6,7.7,16
啡厅,F,108,7.8,7.8,7.5,37
啡厅,F,108,7.8,7.8,7.5,37
啡厅,F,108,7.8,7.8,7.5,37
啡厅,F,108,7.8,7.8,7.5,37
啡厅,F,108,7.8,7.8,7.5,37
啡厅,F,108,7.8,7.8,7.5,37
海鲜,K,4,7.2,7.2,7.2,107
助餐,G,0,0,0,0,0
快餐,A,28,7.3,7,6.7,33
粤菜,F,140,8,7.9,7.8,88
浙菜,I,33,7.4,7,7.4,23
湾菜,A,109,7.4,7.4,7.5,59
甜点,F,1,7,6.9,7,0
快餐,F,9,7.3,7.1,7.1,0
甜点,F,1,7,6.9,7,0
北菜,F,5,6.6,6.7,6.6,0
甜点,A,16,7.1,7.6,7.6,0
甜点,A,16,7.1,7.6,7.6,0
啡厅,A,22,7,7,7.1,45
浙菜,F,371,8.2,7.4,7.3,76
快餐,F,0,0,0,0,0
浙菜,I,730,6.8,6.4,6.1,23
浙菜,I,730,6.8,6.4,6.1,23
快餐,I,10,7.1,6.9,7.3,0
甜点,I,4,7.4,7.2,7.2,0
西餐,F,6,7.6,7.6,7.3,0
西餐,F,269,8,8,8.4,121
西餐,F,269,8,8,8.4,121
蟹宴,A,0,0,0,0,0
西餐,A,13,7.1,7.1,7.1,0
蟹宴,A,0,0,0,0,0
疆菜,A,1,7.1,7.1,7.1,0
西餐,A,13,7.1,7.1,7.1,0
快餐,A,20,7.1,7.1,7.1,17
甜点,K,2,7.4,7.4,7.4,0
甜点,A,1,6.9,6.9,6.9,0
甜点,A,1,6.9,6.9,6.9,0
料理,I,43,7.4,7.1,7.4,28
西餐,I,57,0,0,0,0
啡厅,I,267,7.3,7.5,7.5,20
浙菜,A,3,7,7,7,0
啡厅,A,494,7.6,7.1,7.4,40
啡厅,A,183,7.2,6.9,7.2,33
啡厅,A,183,7.2,6.9,7.2,33
啡厅,A,494,7.6,7.1,7.4,40
啡厅,A,183,7.2,6.9,7.2,33
啡厅,A,494,7.6,7.1,7.4,40
甜点,A,4,7.4,7,6.9,0
